RegionID,SizeRank,City,RegionType,State,Date,New_Renter_Affordability
394609,196,Fort Smith,msa,AR,2015-01-31,0.19844373836344145
394334,197,Appleton,msa,WI,2015-01-31,0.2029718578804955
845160,198,Prescott Valley,msa,AZ,2015-01-31,0.2430007742760772
395161,199,Topeka,msa,KS,2015-01-31,0.1538085892369773
394813,200,Macon,msa,GA,2015-01-31,0.22552241579829932
395174,201,Tyler,msa,TX,2015-01-31,0.23396450159591442
394361,202,Barnstable Town,msa,MA,2015-01-31,0.2513925233944045
394519,203,Daphne,msa,AL,2015-01-31,0.2325198110088711
394378,205,Bellingham,msa,WA,2015-01-31,0.2177647258072188
394429,206,Burlington,msa,VT,2015-01-31,
395030,207,Rochester,msa,MN,2015-01-31,0.1970447394469226
753895,208,Lafayette,msa,IN,2015-01-31,0.2148243663832343
394454,209,Champaign,msa,IL,2015-01-31,0.194705157784822
394848,210,Medford,msa,OR,2015-01-31,0.2405774341996618
394459,212,Charlottesville,msa,VA,2015-01-31,0.2116477134895582
394763,213,Lake Charles,msa,LA,2015-01-31,0.260902952487597
394773,214,Las Cruces,msa,NM,2015-01-31,0.2492580818337804
394464,215,Chico,msa,CA,2015-01-31,0.2562596657242385
394681,216,Hilton Head Island,msa,SC,2015-01-31,0.2269281040046378
394346,217,Athens,msa,GA,2015-01-31,0.2579030053302445
394765,218,Lake Havasu City,msa,AZ,2015-01-31,0.2481881167349794
394485,219,Columbia,msa,MO,2015-01-31,0.1684330790687925
395114,220,Springfield,msa,IL,2015-01-31,0.19641735525557413
394691,221,Houma,msa,LA,2015-01-31,0.260902952487597
394872,222,Monroe,msa,LA,2015-01-31,0.260902952487597
394565,223,Elkhart,msa,IN,2015-01-31,0.18899697141278762
394726,224,Johnson City,msa,TN,2015-01-31,0.2236728712561297
395247,225,Yuma,msa,AZ,2015-01-31,0.22802058848056211
394623,226,Gainesville,msa,GA,2015-01-31,0.206961912224076
394716,227,Jacksonville,msa,NC,2015-01-31,0.2010466267585125
394597,228,Florence,msa,SC,2015-01-31,0.2307736923910862
395118,230,St. Cloud,msa,MN,2015-01-31,0.19368524985697094
395011,231,Racine,msa,WI,2015-01-31,0.2029718578804955
394380,232,Bend,msa,OR,2015-01-31,0.2658148381228146
395047,233,Saginaw,msa,MI,2015-01-31,0.19663285717060783
395202,234,Warner Robins,msa,GA,2015-01-31,0.22552241579829932
395151,235,Terre Haute,msa,IN,2015-01-31,0.18899697141278762
395009,237,Punta Gorda,msa,FL,2015-01-31,0.265798729903792
394386,239,Billings,msa,MT,2015-01-31,0.1727175163890082
395018,240,Redding,msa,CA,2015-01-31,0.2822329094024417
394748,241,Kingston,msa,NY,2015-01-31,0.2377657469238869
394960,242,Panama City,msa,FL,2015-01-31,0.239283770898581
394729,243,Joplin,msa,MO,2015-01-31,0.18093544273945938
394539,244,Dover,msa,DE,2015-01-31,0.2317322459265819
394559,245,El Centro,msa,CA,2015-01-31,0.2822329094024417
394712,246,Jackson,msa,TN,2015-01-31,0.2236728712561297
395246,247,Yuba City,msa,CA,2015-01-31,0.2822329094024417
394406,248,Bowling Green,msa,KY,2015-01-31,0.19144058307048611
395119,249,St. George,msa,UT,2015-01-31,0.17578991163063287
394896,250,Muskegon,msa,MI,2015-01-31,0.19663285717060783
394299,251,Abilene,msa,TX,2015-01-31,0.2080216731910426
394707,252,Iowa City,msa,IA,2015-01-31,0.1797768943383264
394351,253,Auburn,msa,AL,2015-01-31,0.2063922428402079
394860,254,Midland,msa,TX,2015-01-31,0.23396450159591442
394671,255,Hattiesburg,msa,MS,2015-01-31,0.2278085342711361
753869,255,Bloomington,msa,IL,2015-01-31,0.19641735525557413
394944,257,Oshkosh,msa,WI,2015-01-31,0.2029718578804955
394555,258,Eau Claire,msa,WI,2015-01-31,0.2029718578804955
394651,259,Greenville,msa,NC,2015-01-31,0.2247512771003681
394428,260,Burlington,msa,NC,2015-01-31,0.21968160894847405
395210,261,Waterloo,msa,IA,2015-01-31,0.1797768943383264
394480,262,Coeur d'Alene,msa,ID,2015-01-31,0.16958068657745645
394553,263,East Stroudsburg,msa,PA,2015-01-31,0.1873427264970272
395007,264,Pueblo,msa,CO,2015-01-31,0.21704405462022064
394392,265,Blacksburg,msa,VA,2015-01-31,0.20613946778064499
395215,266,Wausau,msa,WI,2015-01-31,0.2029718578804955
394731,267,Kahului,msa,HI,2015-01-31,0.2986593505483608
394720,268,Janesville,msa,WI,2015-01-31,0.2029718578804955
394393,270,Bloomington,msa,IN,2015-01-31,0.2477651886732448
394930,271,Odessa,msa,TX,2015-01-31,0.23396450159591442
394710,272,Jackson,msa,MI,2015-01-31,0.19663285717060783
395125,273,State College,msa,PA,2015-01-31,0.18339428646571826
